
----- Run Fri Aug 12 10:37:53 2022-----
 8.25     1252138     1252531     1203567     1205399     1177778     1179967
 8.50      480426      458183      426750      427650      432182      411409
 8.75       73444       74256       63394       64680       58393       60597
 9.00          11         822           1        1197           1        2324
 9.25       39592       33955       47086       47724       51302       49519
 9.50      364240      359745      392612      387669      407767      404835
 9.75     1067679     1096040     1148331     1143382     1138993     1168944

----- Run Fri Aug 12 12:28:12 2022-----
               motor 12                motor 13                motor 14                
       demand      actual      demand      actual      demand      actual      
 0.00     3500000     3499043     3500000     3499290     3499998     3500755
 0.25     3438555     3438380     3435142     3435020     3430709     3431696
 0.50     3079452     3058070     3046559     3047404     3054907     3034321
 0.75     2306340     2306788     2289098     2290217     2267444     2269251
 1.00     1331270     1332493     1313580     1314832     1291549     1292850
 1.25      533813      534409      521697      498969      506753      508152
 1.50       91615       92310       87356       88337       82212       83979
 1.75         170        1041         109        1170          57        2369
 2.00       33593       27793       31261       30604       34164       30961
 2.25      339908      335154      329972      325157      342299      339768
 2.50     1059393     1054191     1042065     1036201     1063533     1059693
 2.75     1990021     1985712     1970934     2002686     1994561     1991370
 3.00     2864834     2859638     2850795     2845997     2868154     2865314
 3.25     3358805     3365119     3364121     3359324     3360216     3368534
 3.50     3497832     3492689     3497415     3492414     3497924     3494584
 3.75     3481562     3481986     3485805     3485319     3484056     3485612
 4.00     3247953     3248499     3271371     3272413     3261388     3263367
 4.25     2632125     2601991     2677585     2648719     2658013     2629951
 4.50     1692817     1693879     1747934     1749159     1724045     1726170
 4.75      774728      776072      819048      820100      829544      801203
 5.00      204953      205689      226928      213508      217241      219129
 5.25        8439        9473       11503       12724       10099       12504
 5.50        5452        5262        3634        2918        3253        4713
 5.75      179514      174955      148527      155876      155938      153330
 6.00      749739      745283      679438      674870      696711      694169
 6.25     1624486     1655628     1569619     1565302     1555935     1589234
 6.50     2574269     2570698     2494309     2489436     2514537     2511710
 6.75     3233875     3229008     3190532     3185887     3201722     3198804
 7.00     3478783     3476823     3473326     3467970     3471833     3472199
 7.25     3498937     3494849     3499728     3495316     3499593     3496882
 7.50     3378676     3379438     3402769     3403983     3397057     3399598
 7.75     2912782     2887992     2950531     2951832     2959768     2937147
 8.00     2056529     2057609     2146092     2111982     2123815     2125797
 8.25     1087241     1088340     1171785     1173814     1150459     1151575
 8.50      376003      356623      406976      407884      414931      395927
 8.75       42636       43568       57264       58628       53346       55570
 9.00          21         886           0         996           0        2204
 9.25       69111       71464       52506       53529       56385       54581
 9.50      466971      462000      412004      406684      425397      422138
 9.75     1266550     1262052     1179919     1174235     1201410     1197709

----- Run Fri Aug 12 12:33:39 2022-----
               motor 12                motor 13                motor 14                
  t       demand      actual      demand      actual      demand      actual      
 0.00     3499999     3499034     3500000     3499272     3499991     3500554
 0.25     3434620     3434233     3436863     3436897     3426652     3427614
 0.50     3067001     3067299     3074063     3074724     3042635     3044365
 0.75     2286505     2287141     2297728     2298668     2248299     2249843
 1.00     1310931     1311995     1322418     1323943     1272241     1273213
 1.25      519892      496800      527737      504784      493790      472200
 1.50       86729       87175       89470       90663       77847       79484
 1.75         102         896         138        1280          29        2077
 2.00       31587       25725       30294       25322       36753       33388
 2.25      331381      326576      325764      320827      352930      350188
 2.50     1011787     1039333     1002037     1028712     1048655     1079158
 2.75     1973663     1969481     1962743     1958311     2014510     2011137
 3.00     2852811     2847398     2844734     2839726     2882663     2879780
 3.25     3353653     3360020     3350155     3356889     3366321     3374028
 3.50     3497478     3492204     3497222     3492195     3498299     3494749
 3.75     3485610     3485548     3486380     3485759     3482470     3483964
 4.00     3270232     3255165     3274767     3260338     3252744     3237962
 4.25     2645110     2645268     2654227     2655687     2610559     2612080
 4.50     1708429     1709242     1719452     1720558     1667116     1669224
 4.75      816807      817418      825789      826720      783505      785292
 5.00      211044      211760      215408      216649      195154      196773
 5.25        9244       10207        9841       11058        7215        9401
 5.50           0         401           0         630           0        1738
 5.75           0         474           0         868           0        1738
 6.00           0         474           0         786           0        1646
 6.25           0         474           0         703           0        1646
 6.50           0         401           0         703           0        1646
 6.75           0         474           0         786           0        1564
 7.00           0         383           0         703           0        1646
 7.25           0         392           0         868           0        1738
 7.50           0         484           0         786           0        1738
 7.75           0         474           0         786           0        1637
 8.00           0         474           0         786           0        1555
 8.25           0         474           0         694           0        1555
 8.50           0         392           0         786           0        1729
 8.75           0         474           0         713           0        1646
 9.00           0         474           0         786           0        1646
 9.25           0         392           0         777           0        1555
 9.50           0         392           0         703           0        1646
 9.75           0         310           0         786           0        1637

----- Run Fri Aug 12 12:35:01 2022-----
               motor 12                motor 13                motor 14                
  t       demand      actual      demand      actual      demand      actual      
 0.00     3500000     3499290     3500000     3499628     3499999     3500673
 0.06     3498740     3498338     3498323     3498072     3498076     3498787
 0.12     3488356     3487773     3486630     3486426     3485675     3486619
 0.19     3459389     3458906     3455551     3455399     3453477     3454191
 0.25     3403664     3403498     3397057     3397272     3393531     3394829
 0.31     3314861     3314747     3305020     3305417     3299809     3301280
 0.38     3188947     3188990     3175631     3176273     3168619     3170131
 0.44     3024464     3025157     3007673     3008686     2998867     3000520
 0.50     2822621     2822624     2802594     2803068     2792128     2793602
 0.56     2587214     2587919     2564416     2565809     2552536     2554539
 0.62     2324365     2325016     2299452     2300507     2286505     2288377
 0.69     2078129     2042979     2052021     2016318     2038483     2004198
 0.75     1786520     1749891     1759877     1724055     1746096     1711000
 0.81     1493646     1459028     1467393     1431956     1453844     1419487
 0.88     1209608     1175480     1184638     1186750     1171785     1138219
 0.94      943894      944456      921015      922007      909269      910463
 1.00      704726      705503      684600      685645      674298      675584
 1.06      498483      499089      481580      482636      472958      474736
 1.12      329269      329963      315838      317100      309015      310701
 1.19      198621      199263      188668      189676      183641      185100
 1.25      105404      106153       98698       99982       95336       96962
 1.31       45896       46727       41976       43220       40037       42012
 1.38       14034       14729       12251       13511       11391       13511
 1.44        1849        2726        1403        2552        1203        3203
 1.50           1         822           0         968           0        1829
 1.56         807        1060        1134        1380        1326        2507
 1.62        9513        6929       11085        8036       11931        9364
 1.69       35679       29670       34510       34119       41257       38450
 1.75       79514       82331       85584       88996       88726       94627
 1.81      159575      167100      168891      177262      173671      184477
 1.88      275969      270958      288842      283985      295406      292802
 1.94      430820      425672      447310      441831      455681      452022
 2.00      623581      618647      643504      638898      653579      651002
 2.06      851086      846193      874014      868751      885573      882484
 2.12     1107762     1102842     1133062     1128165     1145782     1142357
 2.19     1386012     1382161     1412888     1408665     1426366     1423295
 2.25     1640061     1671421     1667574     1700086     1681341     1715678
 2.31     1933574     1965892     1960922     1993091     1974572     2007686
 2.38     2220747     2250932     2246990     2241593     2260056     2291261
 2.44     2491872     2518650     2516149     2543763     2528202     2558320
 2.50     2767068     2762336     2788271     2783585     2798764     2796367
 2.56     2977701     2972981     2995617     2991126     3004453     3002159
 2.62     3151682     3146711     3166025     3161396     3173070     3170698
 2.69     3287145     3282411     3297876     3292902     3303117     3300053
 2.75     3384887     3379988     3392219     3387449     3395772     3392631
 2.81     3448323     3443077     3452700     3447553     3454796     3451344
 2.88     3483237     3478160     3482505     3480329     3486284     3482701
 2.94     3496456     3492424     3497178     3492249     3497499     3493934
 3.00     3499962     3495060     3499989     3495133     3499995     3496480
 3.06     3499742     3495253     3499581     3495325     3499480     3496718
 3.12     3493904     3491993     3494268     3490876     3493717     3492076
 3.19     3472884     3473463     3473861     3470688     3468194     3470570
 3.25     3435142     3429390     3429800     3423758     3427027     3421718
 3.31     3363429     3364305     3354952     3356165     3350596     3352797
 3.38     3256303     3256803     3244324     3245331     3238208     3239775
 3.44     3110999     3111665     3095394     3096613     3087465     3089381
 3.50     2927402     2928212     2908296     2909672     2898626     2900590
 3.56     2708044     2709071     2685806     2687006     2674587     2676552
 3.62     2457935     2458491     2466150     2434623     2420682     2422630
 3.69     2219432     2185115     2193040     2158665     2179794     2146416
 3.75     1932207     1896431     1904801     1906125     1891078     1893053
 3.81     1638687     1639497     1611210     1611536     1597487     1598088
 3.88     1349018     1350730     1322418     1324326     1309166     1310951
 3.94     1073078     1074086     1048244     1050162     1035903     1037987
 4.00      819796      820503      797491      798914      786440      788157
 4.06      596530      597142      577346      578528      567872      568925
 4.12      408560      409019      392871      393775      385153      386333
 4.19      258725      259669      246662      247822      240756      242457
